geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa05200	Pathways in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05200+10342+114+1147+1288+1499+1613+1630+1728+2033+2261+2308+26508+2737+2778+2956+324+3280+355+3572+369+3815+3845+3914+3915+4087+4254+4292+4313+4436+4893+51176+5290+5292+5468+5579+5601+5900+5915+5979+6198+650+6667+673+6773+6934+7048+7157+801+816+818+8322+862+9138+999	487	54	25.145694168622494	2.1474849585732545	2.8585214639775813e-8	6.818039641087736e-6	10342;114;1147;1288;1499;1613;1630;1728;2033;2261;2308;26508;2737;2778;2956;324;3280;355;3572;369;3815;3845;3914;3915;4087;4254;4292;4313;4436;4893;51176;5290;5292;5468;5579;5601;5900;5915;5979;6198;650;6667;673;6773;6934;7048;7157;801;816;818;8322;862;9138;999	ADCY8;APC;ARAF;ARHGEF1;BMP2;BRAF;CALM1;CAMK2B;CAMK2G;CDH1;CHUK;COL4A6;CTNNB1;DAPK3;DCC;EP300;FAS;FGFR3;FOXO1;FZD4;GLI3;GNAS;HES1;HEYL;IL6ST;KIT;KITLG;KRAS;LAMB3;LAMC1;LEF1;MAPK9;MLH1;MMP2;MSH2;MSH6;NQO1;NRAS;PIK3CA;PIM1;PPARG;PRKCB;RALGDS;RARB;RET;RPS6KB1;RUNX1T1;SMAD2;SP1;STAT2;TCF7L2;TFG;TGFBR2;TP53
hsa05210	Colorectal cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05210+1499+1630+2956+324+369+3845+4087+4292+4436+4893+51176+5290+5601+5900+6198+673+6934+7048+7157	86	19	4.440512727929229	4.278785168320052	4.575865530931367e-8	6.818039641087736e-6	1499;1630;2956;324;369;3845;4087;4292;4436;4893;51176;5290;5601;5900;6198;673;6934;7048;7157	APC;ARAF;BRAF;CTNNB1;DCC;KRAS;LEF1;MAPK9;MLH1;MSH2;MSH6;NRAS;PIK3CA;RALGDS;RPS6KB1;SMAD2;TCF7L2;TGFBR2;TP53
hsa05216	Thyroid cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05216+10342+1499+3845+4893+51176+5468+5979+673+6934+7157+999	37	11	1.9104531503881566	5.757796257796258	1.4731265234324553e-6	1.4633056799429056e-4	10342;1499;3845;4893;51176;5468;5979;673;6934;7157;999	BRAF;CDH1;CTNNB1;KRAS;LEF1;NRAS;PPARG;RET;TCF7L2;TFG;TP53
hsa04933	AGE-RAGE signaling pathway in diabetic complications	http://www.kegg.jp/kegg-bin/show_pathway?hsa04933+1281+1288+1958+2308+3845+4087+4313+4772+4846+4893+5290+5292+5579+5581+5590+5601+7048	97	17	5.008485286152735	3.394239780837719	7.260505778594606e-6	5.409076805052981e-4	1281;1288;1958;2308;3845;4087;4313;4772;4846;4893;5290;5292;5579;5581;5590;5601;7048	COL3A1;COL4A6;EGR1;FOXO1;KRAS;MAPK9;MMP2;NFATC1;NOS3;NRAS;PIK3CA;PIM1;PRKCB;PRKCE;PRKCZ;SMAD2;TGFBR2
hsa04012	ErbB signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04012+2066+369+3845+4893+5063+5290+5579+5601+5609+6198+6416+673+816+818+9542	83	15	4.285611121141	3.5000842530963014	1.7254921334641793e-5	0.0010283933115446508	2066;369;3845;4893;5063;5290;5579;5601;5609;6198;6416;673;816;818;9542	ARAF;BRAF;CAMK2B;CAMK2G;ERBB4;KRAS;MAP2K4;MAP2K7;MAPK9;NRAS;NRG2;PAK3;PIK3CA;PRKCB;RPS6KB1
hsa05213	Endometrial cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05213+1499+324+369+3845+4292+4893+51176+5290+673+6934+7157+999	58	12	2.994764397905759	4.0069930069930075	2.9956139595999076e-5	0.0014878215999346207	1499;324;369;3845;4292;4893;51176;5290;673;6934;7157;999	APC;ARAF;BRAF;CDH1;CTNNB1;KRAS;LEF1;MLH1;NRAS;PIK3CA;TCF7L2;TP53
hsa05166	Human T-cell leukemia virus 1 infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05166+10714+11200+114+1147+1386+1499+1958+2005+2033+2114+29945+3107+324+3845+4085+4087+472+4772+4893+5290+6416+6929+701+7048+7157+811+8295+8322	243	28	12.547030149846542	2.231603787159343	4.381073895087795e-5	0.001665430823445894	10714;11200;114;1147;1386;1499;1958;2005;2033;2114;29945;3107;324;3845;4085;4087;472;4772;4893;5290;6416;6929;701;7048;7157;811;8295;8322	ADCY8;ANAPC4;APC;ATF2;ATM;BUB1B;CALR;CHEK2;CHUK;CTNNB1;EGR1;ELK4;EP300;ETS2;FZD4;HLA-C;KRAS;MAD2L1;MAP2K4;NFATC1;NRAS;PIK3CA;POLD3;SMAD2;TCF3;TGFBR2;TP53;TRRAP
hsa04916	Melanogenesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04916+114+1499+2033+2778+3815+3845+4254+4893+51176+5579+6934+801+816+818+8322	90	15	4.647048203646867	3.227855477855478	4.6786543786092594e-5	0.001665430823445894	114;1499;2033;2778;3815;3845;4254;4893;51176;5579;6934;801;816;818;8322	ADCY8;CALM1;CAMK2B;CAMK2G;CTNNB1;EP300;FZD4;GNAS;KIT;KITLG;KRAS;LEF1;NRAS;PRKCB;TCF7L2
hsa04730	Long-term depression	http://www.kegg.jp/kegg-bin/show_pathway?hsa04730+2778+2895+2911+2977+369+3845+4893+5519+5579+5593+673	52	11	2.684961184329301	4.096893491124261	5.193262760583295e-5	0.001665430823445894	2778;2895;2911;2977;369;3845;4893;5519;5579;5593;673	ARAF;BRAF;GNAS;GRID2;GRM1;GUCY1A2;KRAS;NRAS;PPP2R1B;PRKCB;PRKG2
hsa04390	Hippo signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04390+1499+1741+23418+324+4087+51176+5519+5520+5590+60+60485+650+654+657+6934+7048+7533+8322+999	136	19	7.022206174399711	2.7057023858494444	6.018092988036017e-5	0.001665430823445894	1499;1741;23418;324;4087;51176;5519;5520;5590;60;60485;650;654;657;6934;7048;7533;8322;999	ACTB;APC;BMP2;BMP6;BMPR1A;CDH1;CRB1;CTNNB1;DLG3;FZD4;LEF1;PPP2R1B;PPP2R2A;PRKCZ;SAV1;SMAD2;TCF7L2;TGFBR2;YWHAH
