userId	geneSymbol	geneName	entrezgene	gLink
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCC9	ABCC9	ATP binding cassette subfamily C member 9	10060	https://www.ncbi.nlm.nih.gov/gene/?term=10060
ABCE1	ABCE1	ATP binding cassette subfamily E member 1	6059	https://www.ncbi.nlm.nih.gov/gene/?term=6059
ACACA	ACACA	acetyl-CoA carboxylase alpha	31	https://www.ncbi.nlm.nih.gov/gene/?term=31
ACAP1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	https://www.ncbi.nlm.nih.gov/gene/?term=9744
ACIN1	ACIN1	apoptotic chromatin condensation inducer 1	22985	https://www.ncbi.nlm.nih.gov/gene/?term=22985
ACTB	ACTB	actin beta	60	https://www.ncbi.nlm.nih.gov/gene/?term=60
ADAM19	ADAM19	ADAM metallopeptidase domain 19	8728	https://www.ncbi.nlm.nih.gov/gene/?term=8728
ADAM29	ADAM29	ADAM metallopeptidase domain 29	11086	https://www.ncbi.nlm.nih.gov/gene/?term=11086
ADARB2	ADARB2	adenosine deaminase, RNA specific B2 (inactive)	105	https://www.ncbi.nlm.nih.gov/gene/?term=105
ADCY8	ADCY8	adenylate cyclase 8	114	https://www.ncbi.nlm.nih.gov/gene/?term=114
ADORA1	ADORA1	adenosine A1 receptor	134	https://www.ncbi.nlm.nih.gov/gene/?term=134
ADORA3	ADORA3	adenosine A3 receptor	140	https://www.ncbi.nlm.nih.gov/gene/?term=140
AGXT	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	189	https://www.ncbi.nlm.nih.gov/gene/?term=189
AHI1	AHI1	Abelson helper integration site 1	54806	https://www.ncbi.nlm.nih.gov/gene/?term=54806
AK1	AK1	adenylate kinase 1	203	https://www.ncbi.nlm.nih.gov/gene/?term=203
AKAP12	AKAP12	A-kinase anchoring protein 12	9590	https://www.ncbi.nlm.nih.gov/gene/?term=9590
AKAP6	AKAP6	A-kinase anchoring protein 6	9472	https://www.ncbi.nlm.nih.gov/gene/?term=9472
AKAP9	AKAP9	A-kinase anchoring protein 9	10142	https://www.ncbi.nlm.nih.gov/gene/?term=10142
AMPD1	AMPD1	adenosine monophosphate deaminase 1	270	https://www.ncbi.nlm.nih.gov/gene/?term=270
ANAPC4	ANAPC4	anaphase promoting complex subunit 4	29945	https://www.ncbi.nlm.nih.gov/gene/?term=29945
ANG	ANG	angiogenin	283	https://www.ncbi.nlm.nih.gov/gene/?term=283
ANK2	ANK2	ankyrin 2	287	https://www.ncbi.nlm.nih.gov/gene/?term=287
ANXA2	ANXA2	annexin A2	302	https://www.ncbi.nlm.nih.gov/gene/?term=302
APC	APC	APC, WNT signaling pathway regulator	324	https://www.ncbi.nlm.nih.gov/gene/?term=324
APOB	APOB	apolipoprotein B	338	https://www.ncbi.nlm.nih.gov/gene/?term=338
APOC1	APOC1	apolipoprotein C1	341	https://www.ncbi.nlm.nih.gov/gene/?term=341
ARAF	ARAF	A-Raf proto-oncogene, serine/threonine kinase	369	https://www.ncbi.nlm.nih.gov/gene/?term=369
ARAP3	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	64411	https://www.ncbi.nlm.nih.gov/gene/?term=64411
ARFGEF1	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	10565	https://www.ncbi.nlm.nih.gov/gene/?term=10565
ARHGEF1	ARHGEF1	Rho guanine nucleotide exchange factor 1	9138	https://www.ncbi.nlm.nih.gov/gene/?term=9138
ARHGEF10L	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	55160	https://www.ncbi.nlm.nih.gov/gene/?term=55160
ARL1	ARL1	ADP ribosylation factor like GTPase 1	400	https://www.ncbi.nlm.nih.gov/gene/?term=400
ASB13	ASB13	ankyrin repeat and SOCS box containing 13	79754	https://www.ncbi.nlm.nih.gov/gene/?term=79754
ATF2	ATF2	activating transcription factor 2	1386	https://www.ncbi.nlm.nih.gov/gene/?term=1386
ATF6B	ATF6B	activating transcription factor 6 beta	1388	https://www.ncbi.nlm.nih.gov/gene/?term=1388
ATG5	ATG5	autophagy related 5	9474	https://www.ncbi.nlm.nih.gov/gene/?term=9474
ATM	ATM	ATM serine/threonine kinase	472	https://www.ncbi.nlm.nih.gov/gene/?term=472
ATP2B4	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	493	https://www.ncbi.nlm.nih.gov/gene/?term=493
AURKA	AURKA	aurora kinase A	6790	https://www.ncbi.nlm.nih.gov/gene/?term=6790
B4GALT3	B4GALT3	beta-1,4-galactosyltransferase 3	8703	https://www.ncbi.nlm.nih.gov/gene/?term=8703
BACE1	BACE1	beta-secretase 1	23621	https://www.ncbi.nlm.nih.gov/gene/?term=23621
BCAS2	BCAS2	BCAS2, pre-mRNA processing factor	10286	https://www.ncbi.nlm.nih.gov/gene/?term=10286
BCL11B	BCL11B	BCL11B, BAF complex component	64919	https://www.ncbi.nlm.nih.gov/gene/?term=64919
